pair,2023,2024,2025,2026,2027,2028,2029,2030,2031
C_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_D,1.1948384816823039,225.20060545076953,157.88007193608064,113.12672018409954,67.8019617896401,23.210263372744397,-22.541253159883077,-66.86601379321509,0.15676525059014987
C_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_ED,1.1117652978018666,350.0924537669634,332.81122970621715,326.97690920937856,320.9997172641264,317.54903208007164,309.17159091552224,303.05142130373156,4.466631337096588
C_EG,0.4582576037505311,332.5936052845329,374.868500560869,407.99065950499505,441.5413895203271,476.599118671261,508.59127945897825,541.7134378533021,7.0192357339211835
C_G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_H,1.157337284324881,499.18865460757587,556.8510213952515,593.743260388018,629.349787520664,667.1723738677981,701.3756594654508,737.6964142327835,10.064683078873855
C_K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_L,0.9198965252848688,1009.1516076295276,1051.7262533190674,1086.9403098433463,1121.8686770581555,1159.3524318799327,1193.3938474890545,1229.0365530144318,9.461672955285291
C_LE,2.724212076727541,2365.8951832964954,2560.4337109238154,2688.706310770364,2817.9798792488155,2950.952583022613,3072.5882768017204,3201.003670306752,32.42068557594389
C_LF,50.46428163516198,18525.733729099105,19617.880338352843,20725.165304047958,21552.399169614288,22443.906700506523,23238.407112521603,23473.361857692067,324.68145400817
C_LI,8.202257973055609,5405.986525795422,6201.287698488642,6886.670854143001,7506.508290717749,8079.483874384604,8604.107948449564,9057.4024677392,105.03421324916822
C_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_LS,12.06235080796898,4795.3497322040075,5003.301906929239,5181.875026549717,5401.287738274862,5591.999543448633,5788.3609612437485,5724.462630689246,75.25931158539031
C_MS,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
C_O,2.102393967603745,1024.1653167912687,1199.5991409407761,1309.569082067186,1420.39626204454,1535.314912467934,1642.3529707144212,1753.0373191636381,26.481877768817007
C_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
C_Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_E,18.01419915667084,8241.290861338606,9218.384320822472,9906.267074916237,10547.787509481363,11190.300058598004,11761.531241786866,11665.167768108147,148.9454848435485
D_ED,9.149723634027396,4900.673315401445,5448.33684986431,5902.981380463411,6218.335331872696,6469.515117520315,6611.4526313244205,6548.7435278031435,82.48282109858492
D_EG,19.903839031927035,8395.264187742974,9815.45523378524,10911.348223977677,11925.058323159286,12923.971944390907,13851.655746471735,14367.220856486789,193.30377050569672
D_G,3.961408918319794,1267.0039007738758,1354.9620473962116,1490.4636146763187,1625.9651778408263,1766.3437905499468,1897.3385390364726,2032.5544011986635,28.0874247322799
D_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_L,3.7056392206994895,708.9563507135962,504.68293753460273,368.4766641025407,232.41326994217394,99.46010898187303,-38.36919655165731,-174.00401776595564,-1.433266792356115
D_LE,0.6176988135532082,281.1944313810558,221.590616500149,159.5926160250143,99.16603778697898,37.93376146178659,-23.13949572856628,-84.85178973204245,-2.123830538986944
D_LF,226.28014952154692,84801.95472390362,98647.50970167409,109632.42903124404,118692.01186683227,127959.91572882829,137339.30697691304,137474.66693988838,1903.6959322885343
D_LI,5.916713537151092,2689.002304465883,3047.4634125931557,3202.135504332078,3320.491192593983,3431.312814181554,3524.900844912197,3559.6499908698233,48.701385513186096
D_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_LS,4.434655492943364,1961.5512201821437,1938.8662406612818,1958.1701691044616,1975.9026865880421,2000.3389873861292,2010.1294329098873,2026.290470915658,23.420490995018437
D_MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_U,-0.15275467117911112,46.470978157989585,26.308153040588834,8.440782558616851,-8.569398948656824,-27.237664148288356,-44.78110670401021,-62.50557721010425,-1.4888322031829988
D_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
D_Z,0.7631737961319895,139.83476337391392,118.81969080413798,105.281238810834,91.59993027083905,77.63271381220957,63.770973821864395,49.37537999428282,0.907008532120664
ED_ED,3.6332800902491265,2268.3623804494705,2360.6058883975934,2389.353193651353,2416.391012745858,2449.2016408293966,2472.1062962378014,2502.9954025330326,27.098013042485494
ED_EG,14.641061164283965,5991.8271670426875,6055.638086020954,6091.9903904907205,6148.496410435294,6274.733562575456,6353.969085028825,6657.682714094983,89.72727127684637
ED_G,168.09370019899836,41403.27225621058,36854.075614788744,31701.928194518605,27405.956472676793,23934.742446433203,20022.380033836504,16420.374813903167,394.0981283021805
ED_H,8.348071590883356,2883.5560790097575,2836.734449361139,2780.0782222978514,2737.3476581738973,2725.063871461652,2701.5054775664516,2588.144620146078,37.291944200458644
ED_K,11.365344198414029,4284.965831546777,4507.5895959353375,4768.231922734833,5039.680239173803,5334.37887775935,5619.147421222757,6276.955382042612,88.85902496993157
ED_L,2.2442880956865214,633.6021253776056,566.8778929677283,513.4049508722898,460.93210612680554,408.5839404497843,354.412431276715,300.79671292048334,0.3132469646152968
ED_LE,309.23797494529856,146287.15463383138,143067.19036662922,140033.28746426693,138595.80222434108,137057.98616849678,134605.99254736042,139080.88438769465,1376.8685731648795
ED_LF,169.2864592574481,95843.16764863767,92615.0959076901,90411.86667058255,86498.35183310293,82317.19037884912,77042.62342712944,74551.66499622927,703.2924649464447
ED_LI,7.49417975035861,5664.560829681981,6467.374023446112,7334.02368438927,8073.581077571133,8766.192770080164,9346.752129671242,9791.372481001828,104.30176327103055
ED_LP,91.83660662485116,32764.85860533433,32137.03704293748,30907.892677540098,29880.05235570498,28825.9353472824,27530.62705580044,27448.46896854464,341.48747840998067
ED_LS,25.364052651432576,12940.623973033129,11872.982773375505,10657.566840290081,9648.618240663338,8245.2163283596,7079.14741569146,6447.557856281437,49.815465086385174
ED_MS,22.515660615042172,5779.656255814422,5741.547851934247,5682.121718239958,5578.396654999387,5450.992987168026,5226.577257674618,4963.86954113884,90.79881286481928
ED_O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED_Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED_Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG_EG,72.48871299864703,42203.28026180725,43461.942401523105,43651.94970343518,43335.39997817617,42892.27185759268,42625.28692732982,43067.49427928494,483.73561059173215
EG_G,186.24885991087976,69216.30699004765,77456.79532722273,84274.79652831456,92181.50986049604,100011.20750215159,106078.09799036359,105305.00927426093,1517.27677889599
EG_H,40.325725117675724,16562.253610092528,18427.66343676374,19987.596958184757,21640.893789428006,23533.556315941263,25696.854601849034,26565.719470285974,390.4996972688044
EG_K,0.5108007560917603,280.29986206201994,262.5292471265892,211.19569866782513,159.71997317678586,111.9762001466197,59.77630715911414,7.730532925711057,-4.290367625213323
EG_L,160.36961217676009,76779.95502170746,85385.58792357516,93836.61149495523,102231.85269562723,110220.41362706092,117235.08974388323,125421.92631233804,1469.2011848431694
